# Logfile created on 2014-01-25 13:59:12 +0100 by logger.rb/44203
I, [2014-01-25T13:59:14.461944 #7344]  INFO -- : Jim Java showed 5 of Diamonds,8 of Clubs,10 of Spades,Jack of Diamonds,Jack of Hearts,Queen of Hearts,Ace of Clubs making a pair
I, [2014-01-25T13:59:14.492953 #7344]  INFO -- : Korda György showed 5 of Diamonds,10 of Spades,Jack of Spades,Jack of Diamonds,Jack of Hearts,Queen of Clubs,Queen of Hearts making a full house
I, [2014-01-25T13:59:14.521121 #7344]  INFO -- : Korda György won 198
I, [2014-01-25T13:59:14.581327 #7344]  INFO -- : Jim Java has 1013 chips
I, [2014-01-25T13:59:14.581668 #7344]  INFO -- : Korda György has 987 chips
I, [2014-01-25T13:59:14.615718 #7344]  INFO -- : Korda György got hole card 6 of Diamonds (6, Diamonds)
I, [2014-01-25T13:59:14.617458 #7344]  INFO -- : Jim Java got hole card 8 of Diamonds (8, Diamonds)
I, [2014-01-25T13:59:14.651737 #7344]  INFO -- : Korda György got hole card 5 of Hearts (5, Hearts)
I, [2014-01-25T13:59:14.652742 #7344]  INFO -- : Jim Java got hole card 3 of Hearts (3, Hearts)
I, [2014-01-25T13:59:14.687744 #7344]  INFO -- : Korda György made a bet of 20 (raise) and is left with 967 chips. The pot now contains 20 chips.
I, [2014-01-25T13:59:14.721797 #7344]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 973 chips. The pot now contains 60 chips.
I, [2014-01-25T13:59:14.787322 #7344]  INFO -- : Korda György made a bet of 20 (call) and is left with 947 chips. The pot now contains 80 chips.
I, [2014-01-25T13:59:14.822151 #7344]  INFO -- : Jim Java made a bet of 0 (check) and is left with 973 chips. The pot now contains 80 chips.
I, [2014-01-25T13:59:14.855654 #7344]  INFO -- : community card Jack of Diamonds
I, [2014-01-25T13:59:14.891012 #7344]  INFO -- : community card Jack of Spades
I, [2014-01-25T13:59:14.919229 #7344]  INFO -- : community card Ace of Spades
I, [2014-01-25T13:59:14.985288 #7344]  INFO -- : Korda György made a bet of 0 (check) and is left with 947 chips. The pot now contains 80 chips.
I, [2014-01-25T13:59:15.011037 #7344]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 933 chips. The pot now contains 120 chips.
I, [2014-01-25T13:59:15.071978 #7344]  INFO -- : Korda György made a bet of 40 (call) and is left with 907 chips. The pot now contains 160 chips.
I, [2014-01-25T13:59:15.102125 #7344]  INFO -- : community card Ace of Clubs
I, [2014-01-25T13:59:15.161619 #7344]  INFO -- : Korda György made a bet of 0 (check) and is left with 907 chips. The pot now contains 160 chips.
I, [2014-01-25T13:59:15.198026 #7344]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 893 chips. The pot now contains 200 chips.
I, [2014-01-25T13:59:15.270676 #7344]  INFO -- : Korda György made a bet of 40 (call) and is left with 867 chips. The pot now contains 240 chips.
I, [2014-01-25T13:59:15.305591 #7344]  INFO -- : community card 10 of Spades
I, [2014-01-25T13:59:15.371660 #7344]  INFO -- : Korda György made a bet of 0 (check) and is left with 867 chips. The pot now contains 240 chips.
I, [2014-01-25T13:59:15.409050 #7344]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 853 chips. The pot now contains 280 chips.
I, [2014-01-25T13:59:15.467191 #7344]  INFO -- : Korda György made a bet of 40 (call) and is left with 827 chips. The pot now contains 320 chips.
I, [2014-01-25T13:59:15.493573 #7344]  INFO -- : Jim Java showed 3 of Hearts,8 of Diamonds,10 of Spades,Jack of Diamonds,Jack of Spades,Ace of Spades,Ace of Clubs making a two pairs
I, [2014-01-25T13:59:15.524329 #7344]  INFO -- : Korda György showed 5 of Hearts,6 of Diamonds,10 of Spades,Jack of Diamonds,Jack of Spades,Ace of Spades,Ace of Clubs making a two pairs
I, [2014-01-25T13:59:15.554443 #7344]  INFO -- : Jim Java won 160
I, [2014-01-25T13:59:15.586173 #7344]  INFO -- : Korda György won 160
I, [2014-01-25T13:59:15.639043 #7344]  INFO -- : Jim Java has 1013 chips
I, [2014-01-25T13:59:15.639347 #7344]  INFO -- : Korda György has 987 chips
I, [2014-01-25T13:59:15.640719 #7344]  INFO -- : Jim Java got hole card Jack of Hearts (11, Hearts)
I, [2014-01-25T13:59:15.683259 #7344]  INFO -- : Korda György got hole card 6 of Spades (6, Spades)
I, [2014-01-25T13:59:15.684401 #7344]  INFO -- : Jim Java got hole card 2 of Diamonds (2, Diamonds)
I, [2014-01-25T13:59:15.710223 #7344]  INFO -- : Korda György got hole card 5 of Hearts (5, Hearts)
I, [2014-01-25T13:59:15.746145 #7344]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 993 chips. The pot now contains 20 chips.
I, [2014-01-25T13:59:15.775449 #7344]  INFO -- : Korda György made a bet of 40 (raise) and is left with 947 chips. The pot now contains 60 chips.
I, [2014-01-25T13:59:15.815825 #7344]  INFO -- : Jim Java made a bet of 20 (call) and is left with 973 chips. The pot now contains 80 chips.
I, [2014-01-25T13:59:15.879314 #7344]  INFO -- : Korda György made a bet of 0 (check) and is left with 947 chips. The pot now contains 80 chips.
I, [2014-01-25T13:59:15.913624 #7344]  INFO -- : community card Queen of Hearts
I, [2014-01-25T13:59:15.944847 #7344]  INFO -- : community card 6 of Diamonds
I, [2014-01-25T13:59:15.976797 #7344]  INFO -- : community card 4 of Diamonds
I, [2014-01-25T13:59:16.008359 #7344]  INFO -- : Jim Java made a bet of 0 (check) and is left with 973 chips. The pot now contains 80 chips.
I, [2014-01-25T13:59:16.070785 #7344]  INFO -- : Korda György made a bet of 48 (raise) and is left with 899 chips. The pot now contains 128 chips.
I, [2014-01-25T13:59:16.106792 #7344]  INFO -- : Jim Java made a bet of 48 (call) and is left with 925 chips. The pot now contains 176 chips.
I, [2014-01-25T13:59:16.139509 #7344]  INFO -- : community card 4 of Hearts
I, [2014-01-25T13:59:16.167020 #7344]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 885 chips. The pot now contains 216 chips.
I, [2014-01-25T13:59:16.226909 #7344]  INFO -- : Korda György made a bet of 40 (call) and is left with 859 chips. The pot now contains 256 chips.
I, [2014-01-25T13:59:16.262057 #7344]  INFO -- : community card 8 of Diamonds
I, [2014-01-25T13:59:16.296853 #7344]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 845 chips. The pot now contains 296 chips.
I, [2014-01-25T13:59:16.358910 #7344]  INFO -- : Korda György made a bet of 40 (call) and is left with 819 chips. The pot now contains 336 chips.
I, [2014-01-25T13:59:16.393567 #7344]  INFO -- : Jim Java showed 2 of Diamonds,4 of Diamonds,4 of Hearts,6 of Diamonds,8 of Diamonds,Jack of Hearts,Queen of Hearts making a pair
I, [2014-01-25T13:59:16.428845 #7344]  INFO -- : Korda György showed 4 of Diamonds,4 of Hearts,5 of Hearts,6 of Spades,6 of Diamonds,8 of Diamonds,Queen of Hearts making a two pairs
I, [2014-01-25T13:59:16.465989 #7344]  INFO -- : Korda György won 336
I, [2014-01-25T13:59:16.527942 #7344]  INFO -- : Jim Java has 845 chips
I, [2014-01-25T13:59:16.528267 #7344]  INFO -- : Korda György has 1155 chips
I, [2014-01-25T13:59:16.563725 #7344]  INFO -- : Korda György got hole card King of Spades (13, Spades)
I, [2014-01-25T13:59:16.565447 #7344]  INFO -- : Jim Java got hole card 5 of Spades (5, Spades)
I, [2014-01-25T13:59:16.595693 #7344]  INFO -- : Korda György got hole card 2 of Diamonds (2, Diamonds)
I, [2014-01-25T13:59:16.598188 #7344]  INFO -- : Jim Java got hole card Ace of Diamonds (14, Diamonds)
I, [2014-01-25T13:59:16.625286 #7344]  INFO -- : Korda György made a bet of 40 (raise) and is left with 1115 chips. The pot now contains 40 chips.
I, [2014-01-25T13:59:16.657760 #7344]  INFO -- : Jim Java made a bet of 80 (raise) and is left with 765 chips. The pot now contains 120 chips.
I, [2014-01-25T13:59:16.718401 #7344]  INFO -- : Korda György made a bet of 40 (call) and is left with 1075 chips. The pot now contains 160 chips.
I, [2014-01-25T13:59:16.753767 #7344]  INFO -- : Jim Java made a bet of 0 (check) and is left with 765 chips. The pot now contains 160 chips.
I, [2014-01-25T13:59:16.786882 #7344]  INFO -- : community card 9 of Hearts
I, [2014-01-25T13:59:16.818947 #7344]  INFO -- : community card King of Clubs
I, [2014-01-25T13:59:16.850255 #7344]  INFO -- : community card 7 of Clubs
I, [2014-01-25T13:59:16.920986 #7344]  INFO -- : Korda György made a bet of 85 (raise) and is left with 990 chips. The pot now contains 245 chips.
I, [2014-01-25T13:59:16.957242 #7344]  INFO -- : Jim Java made a bet of 85 (call) and is left with 680 chips. The pot now contains 330 chips.
I, [2014-01-25T13:59:16.990466 #7344]  INFO -- : community card 10 of Spades
I, [2014-01-25T13:59:17.050250 #7344]  INFO -- : Korda György made a bet of 97 (raise) and is left with 893 chips. The pot now contains 427 chips.
