# Logfile created on 2014-01-25 15:27:06 +0100 by logger.rb/44203
I, [2014-01-25T15:27:06.275305 #8925]  INFO -- : Connected devill at localhost:4242
I, [2014-01-25T15:27:06.291672 #8925]  INFO -- : Connected Jim Java at localhost:9900
I, [2014-01-25T15:27:06.377321 #8925]  INFO -- : Connected Korda György at http://localhost:8080/php/player_service.php
I, [2014-01-25T15:27:06.548103 #8925]  INFO -- : devill has 1000 chips
I, [2014-01-25T15:27:06.548770 #8925]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T15:27:06.548949 #8925]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T15:27:06.557495 #8925]  INFO -- : Jim Java got hole card Jack of Diamonds (11, Diamonds)
I, [2014-01-25T15:27:06.588838 #8925]  INFO -- : Korda György got hole card Ace of Spades (14, Spades)
I, [2014-01-25T15:27:06.589523 #8925]  INFO -- : devill got hole card 10 of Clubs (10, Clubs)
I, [2014-01-25T15:27:06.590260 #8925]  INFO -- : Jim Java got hole card Ace of Diamonds (14, Diamonds)
I, [2014-01-25T15:27:06.626270 #8925]  INFO -- : Korda György got hole card King of Spades (13, Spades)
I, [2014-01-25T15:27:06.627078 #8925]  INFO -- : devill got hole card 6 of Clubs (6, Clubs)
I, [2014-01-25T15:27:06.675090 #8925]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T15:27:06.712069 #8925]  INFO -- : Korda György made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T15:27:06.748212 #8925]  INFO -- : devill made a bet of 0 (fold) and is left with 1000 chips. The pot now contains 30 chips.
I, [2014-01-25T15:27:06.790758 #8925]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T15:27:06.881180 #8925]  INFO -- : Korda György made a bet of 40 (raise) and is left with 940 chips. The pot now contains 70 chips.
I, [2014-01-25T15:27:06.919500 #8925]  INFO -- : Korda György won 70
I, [2014-01-25T15:27:07.020265 #8925]  INFO -- : devill has 1000 chips
I, [2014-01-25T15:27:07.020378 #8925]  INFO -- : Jim Java has 990 chips
I, [2014-01-25T15:27:07.020430 #8925]  INFO -- : Korda György has 1010 chips
I, [2014-01-25T15:27:07.041439 #8925]  INFO -- : Korda György got hole card 10 of Hearts (10, Hearts)
I, [2014-01-25T15:27:07.042779 #8925]  INFO -- : devill got hole card King of Spades (13, Spades)
I, [2014-01-25T15:27:07.043628 #8925]  INFO -- : Jim Java got hole card 2 of Hearts (2, Hearts)
I, [2014-01-25T15:27:07.073924 #8925]  INFO -- : Korda György got hole card 2 of Clubs (2, Clubs)
I, [2014-01-25T15:27:07.074724 #8925]  INFO -- : devill got hole card 8 of Clubs (8, Clubs)
I, [2014-01-25T15:27:07.075906 #8925]  INFO -- : Jim Java got hole card Ace of Clubs (14, Clubs)
I, [2014-01-25T15:27:07.107274 #8925]  INFO -- : Korda György made a bet of 10 (raise) and is left with 1000 chips. The pot now contains 10 chips.
I, [2014-01-25T15:27:07.141245 #8925]  INFO -- : devill made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T15:27:07.170007 #8925]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T15:27:07.235592 #8925]  INFO -- : Korda György made a bet of 10 (call) and is left with 990 chips. The pot now contains 40 chips.
I, [2014-01-25T15:27:07.275597 #8925]  INFO -- : devill made a bet of 10 (raise) and is left with 970 chips. The pot now contains 50 chips.
