# Logfile created on 2014-01-25 17:58:23 +0100 by logger.rb/44203
I, [2014-01-25T17:58:23.461974 #17399]  INFO -- : Connected devill_4242 at localhost:4242
I, [2014-01-25T17:58:23.463783 #17399]  INFO -- : Connected Jim Java at localhost:9900
I, [2014-01-25T17:58:23.542088 #17399]  INFO -- : Connected Korda György at http://localhost:8080/php/player_service.php
I, [2014-01-25T17:58:23.681607 #17399]  INFO -- : devill_4242 has 1000 chips
I, [2014-01-25T17:58:23.681989 #17399]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T17:58:23.682252 #17399]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T17:58:23.684966 #17399]  INFO -- : Jim Java got hole card Jack of Hearts (11, Hearts)
I, [2014-01-25T17:58:23.714545 #17399]  INFO -- : Korda György got hole card 7 of Clubs (7, Clubs)
I, [2014-01-25T17:58:23.715667 #17399]  INFO -- : devill_4242 got hole card King of Spades (13, Spades)
I, [2014-01-25T17:58:23.716669 #17399]  INFO -- : Jim Java got hole card 5 of Hearts (5, Hearts)
I, [2014-01-25T17:58:23.747039 #17399]  INFO -- : Korda György got hole card Queen of Clubs (12, Clubs)
I, [2014-01-25T17:58:23.748518 #17399]  INFO -- : devill_4242 got hole card Ace of Hearts (14, Hearts)
I, [2014-01-25T17:58:23.784135 #17399]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T17:58:23.820929 #17399]  INFO -- : Korda György made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T17:58:23.852886 #17399]  INFO -- : devill_4242 made a bet of 20 (call) and is left with 980 chips. The pot now contains 50 chips.
I, [2014-01-25T17:58:23.888345 #17399]  INFO -- : Jim Java made a bet of 10 (call) and is left with 980 chips. The pot now contains 60 chips.
I, [2014-01-25T17:58:23.959929 #17399]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 60 chips.
