# Logfile created on 2014-01-25 16:39:09 +0100 by logger.rb/44203
I, [2014-01-25T16:39:09.073628 #10974]  INFO -- : Connected devill at localhost:4242
I, [2014-01-25T16:39:09.075358 #10974]  INFO -- : Connected Jim Java at localhost:9900
I, [2014-01-25T16:39:09.142242 #10974]  INFO -- : Connected Korda György at http://localhost:8080/php/player_service.php
I, [2014-01-25T16:39:09.287260 #10974]  INFO -- : devill has 1000 chips
I, [2014-01-25T16:39:09.287389 #10974]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T16:39:09.287454 #10974]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T16:39:09.288832 #10974]  INFO -- : Jim Java got hole card 4 of Diamonds (4, Diamonds)
I, [2014-01-25T16:39:09.321320 #10974]  INFO -- : Korda György got hole card Jack of Diamonds (11, Diamonds)
I, [2014-01-25T16:39:09.322986 #10974]  INFO -- : devill got hole card Jack of Hearts (11, Hearts)
I, [2014-01-25T16:39:09.324362 #10974]  INFO -- : Jim Java got hole card 9 of Hearts (9, Hearts)
I, [2014-01-25T16:39:09.350225 #10974]  INFO -- : Korda György got hole card Ace of Clubs (14, Clubs)
I, [2014-01-25T16:39:09.350963 #10974]  INFO -- : devill got hole card 7 of Spades (7, Spades)
I, [2014-01-25T16:39:09.388653 #10974]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T16:39:09.419950 #10974]  INFO -- : Korda György made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:39:09.458893 #10974]  INFO -- : devill made a bet of 0 (fold) and is left with 1000 chips. The pot now contains 30 chips.
I, [2014-01-25T16:39:09.491767 #10974]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T16:39:09.555004 #10974]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:39:09.588320 #10974]  INFO -- : Korda György won 30
I, [2014-01-25T16:39:09.685169 #10974]  INFO -- : devill has 1000 chips
I, [2014-01-25T16:39:09.685284 #10974]  INFO -- : Jim Java has 990 chips
I, [2014-01-25T16:39:09.685330 #10974]  INFO -- : Korda György has 1010 chips
I, [2014-01-25T16:39:09.714126 #10974]  INFO -- : Korda György got hole card 4 of Clubs (4, Clubs)
I, [2014-01-25T16:39:09.714973 #10974]  INFO -- : devill got hole card 7 of Hearts (7, Hearts)
I, [2014-01-25T16:39:09.715635 #10974]  INFO -- : Jim Java got hole card 6 of Clubs (6, Clubs)
I, [2014-01-25T16:39:09.742833 #10974]  INFO -- : Korda György got hole card 2 of Clubs (2, Clubs)
I, [2014-01-25T16:39:09.743881 #10974]  INFO -- : devill got hole card 3 of Diamonds (3, Diamonds)
I, [2014-01-25T16:39:09.744680 #10974]  INFO -- : Jim Java got hole card 9 of Hearts (9, Hearts)
I, [2014-01-25T16:39:09.776424 #10974]  INFO -- : Korda György made a bet of 10 (raise) and is left with 1000 chips. The pot now contains 10 chips.
I, [2014-01-25T16:39:09.812973 #10974]  INFO -- : devill made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:39:09.839521 #10974]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T16:39:09.902016 #10974]  INFO -- : Korda György made a bet of 10 (call) and is left with 990 chips. The pot now contains 40 chips.
I, [2014-01-25T16:39:09.936471 #10974]  INFO -- : devill made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T16:39:09.974457 #10974]  INFO -- : community card Queen of Clubs
I, [2014-01-25T16:39:10.007994 #10974]  INFO -- : community card 5 of Clubs
I, [2014-01-25T16:39:10.042150 #10974]  INFO -- : community card 4 of Hearts
I, [2014-01-25T16:39:10.118763 #10974]  INFO -- : Korda György made a bet of 30 (raise) and is left with 960 chips. The pot now contains 70 chips.
I, [2014-01-25T16:39:10.146092 #10974]  INFO -- : devill made a bet of 30 (call) and is left with 950 chips. The pot now contains 100 chips.
I, [2014-01-25T16:39:10.177178 #10974]  INFO -- : community card Jack of Diamonds
I, [2014-01-25T16:39:10.243925 #10974]  INFO -- : Korda György made a bet of 30 (raise) and is left with 930 chips. The pot now contains 130 chips.
I, [2014-01-25T16:39:10.281693 #10974]  INFO -- : devill made a bet of 30 (call) and is left with 920 chips. The pot now contains 160 chips.
I, [2014-01-25T16:39:10.314622 #10974]  INFO -- : community card 8 of Hearts
I, [2014-01-25T16:39:10.405993 #10974]  INFO -- : Korda György made a bet of 30 (raise) and is left with 900 chips. The pot now contains 190 chips.
I, [2014-01-25T16:39:10.443303 #10974]  INFO -- : devill made a bet of 30 (call) and is left with 890 chips. The pot now contains 220 chips.
I, [2014-01-25T16:39:10.476930 #10974]  INFO -- : Korda György showed 2 of Clubs,4 of Clubs,4 of Hearts,5 of Clubs,8 of Hearts,Jack of Diamonds,Queen of Clubs making a pair
I, [2014-01-25T16:39:10.509796 #10974]  INFO -- : Korda György won 220
I, [2014-01-25T16:39:10.596572 #10974]  INFO -- : devill has 890 chips
I, [2014-01-25T16:39:10.596683 #10974]  INFO -- : Jim Java has 990 chips
I, [2014-01-25T16:39:10.596730 #10974]  INFO -- : Korda György has 1120 chips
I, [2014-01-25T16:39:10.597497 #10974]  INFO -- : devill got hole card 8 of Spades (8, Spades)
