# Logfile created on 2014-01-25 16:37:55 +0100 by logger.rb/44203
I, [2014-01-25T16:37:55.464445 #10040]  INFO -- : Connected devill at localhost:4242
I, [2014-01-25T16:37:55.475327 #10040]  INFO -- : Connected Jim Java at localhost:9900
I, [2014-01-25T16:37:55.556170 #10040]  INFO -- : Connected Korda György at http://localhost:8080/php/player_service.php
I, [2014-01-25T16:37:55.730364 #10040]  INFO -- : devill has 1000 chips
I, [2014-01-25T16:37:55.730704 #10040]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T16:37:55.730960 #10040]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T16:37:55.751484 #10040]  INFO -- : Jim Java got hole card 10 of Spades (10, Spades)
I, [2014-01-25T16:37:55.777096 #10040]  INFO -- : Korda György got hole card King of Hearts (13, Hearts)
I, [2014-01-25T16:37:55.777880 #10040]  INFO -- : devill got hole card 7 of Hearts (7, Hearts)
I, [2014-01-25T16:37:55.778994 #10040]  INFO -- : Jim Java got hole card 2 of Diamonds (2, Diamonds)
I, [2014-01-25T16:37:55.810017 #10040]  INFO -- : Korda György got hole card 6 of Diamonds (6, Diamonds)
I, [2014-01-25T16:37:55.811725 #10040]  INFO -- : devill got hole card Jack of Spades (11, Spades)
I, [2014-01-25T16:37:55.858179 #10040]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T16:37:55.887308 #10040]  INFO -- : Korda György made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:37:55.920594 #10040]  INFO -- : devill made a bet of 0 (fold) and is left with 1000 chips. The pot now contains 30 chips.
I, [2014-01-25T16:37:55.967672 #10040]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T16:37:56.026509 #10040]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:37:56.075129 #10040]  INFO -- : Korda György won 30
I, [2014-01-25T16:37:56.168800 #10040]  INFO -- : devill has 1000 chips
I, [2014-01-25T16:37:56.169159 #10040]  INFO -- : Jim Java has 990 chips
I, [2014-01-25T16:37:56.169397 #10040]  INFO -- : Korda György has 1010 chips
I, [2014-01-25T16:37:56.195192 #10040]  INFO -- : Korda György got hole card 3 of Clubs (3, Clubs)
I, [2014-01-25T16:37:56.196352 #10040]  INFO -- : devill got hole card 9 of Spades (9, Spades)
I, [2014-01-25T16:37:56.197488 #10040]  INFO -- : Jim Java got hole card 2 of Hearts (2, Hearts)
I, [2014-01-25T16:37:56.226152 #10040]  INFO -- : Korda György got hole card Queen of Clubs (12, Clubs)
I, [2014-01-25T16:37:56.226674 #10040]  INFO -- : devill got hole card Queen of Diamonds (12, Diamonds)
I, [2014-01-25T16:37:56.227162 #10040]  INFO -- : Jim Java got hole card 10 of Spades (10, Spades)
I, [2014-01-25T16:37:56.258086 #10040]  INFO -- : Korda György made a bet of 10 (raise) and is left with 1000 chips. The pot now contains 10 chips.
I, [2014-01-25T16:37:56.289691 #10040]  INFO -- : devill made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:37:56.324542 #10040]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T16:37:56.389631 #10040]  INFO -- : Korda György made a bet of 10 (call) and is left with 990 chips. The pot now contains 40 chips.
I, [2014-01-25T16:37:56.425225 #10040]  INFO -- : devill made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T16:37:56.473984 #10040]  INFO -- : community card 9 of Clubs
I, [2014-01-25T16:37:56.500848 #10040]  INFO -- : community card Ace of Clubs
I, [2014-01-25T16:37:56.533053 #10040]  INFO -- : community card 6 of Diamonds
I, [2014-01-25T16:37:56.614195 #10040]  INFO -- : Korda György made a bet of 0 (check) and is left with 990 chips. The pot now contains 40 chips.
I, [2014-01-25T16:37:56.650625 #10040]  INFO -- : devill made a bet of 20 (raise) and is left with 960 chips. The pot now contains 60 chips.
I, [2014-01-25T16:37:56.717729 #10040]  INFO -- : Korda György made a bet of 20 (call) and is left with 970 chips. The pot now contains 80 chips.
I, [2014-01-25T16:37:56.750668 #10040]  INFO -- : community card 2 of Diamonds
I, [2014-01-25T16:37:56.845074 #10040]  INFO -- : Korda György made a bet of 0 (check) and is left with 970 chips. The pot now contains 80 chips.
I, [2014-01-25T16:37:56.881169 #10040]  INFO -- : devill made a bet of 20 (raise) and is left with 940 chips. The pot now contains 100 chips.
I, [2014-01-25T16:37:56.951824 #10040]  INFO -- : Korda György made a bet of 20 (call) and is left with 950 chips. The pot now contains 120 chips.
I, [2014-01-25T16:37:56.980248 #10040]  INFO -- : community card 3 of Hearts
I, [2014-01-25T16:37:57.055658 #10040]  INFO -- : Korda György made a bet of 30 (raise) and is left with 920 chips. The pot now contains 150 chips.
I, [2014-01-25T16:37:57.083040 #10040]  INFO -- : devill made a bet of 30 (call) and is left with 910 chips. The pot now contains 180 chips.
I, [2014-01-25T16:37:57.137319 #10040]  INFO -- : Korda György showed 2 of Diamonds,3 of Clubs,3 of Hearts,6 of Diamonds,9 of Clubs,Queen of Clubs,Ace of Clubs making a pair
I, [2014-01-25T16:37:57.167936 #10040]  INFO -- : devill showed 2 of Diamonds,3 of Hearts,6 of Diamonds,9 of Clubs,9 of Spades,Queen of Diamonds,Ace of Clubs making a pair
I, [2014-01-25T16:37:57.194300 #10040]  INFO -- : devill won 180
I, [2014-01-25T16:37:57.276245 #10040]  INFO -- : devill has 1090 chips
I, [2014-01-25T16:37:57.276567 #10040]  INFO -- : Jim Java has 990 chips
I, [2014-01-25T16:37:57.276755 #10040]  INFO -- : Korda György has 920 chips
