# Logfile created on 2014-01-25 16:40:06 +0100 by logger.rb/44203
I, [2014-01-25T16:40:06.852484 #11777]  INFO -- : Connected devill at localhost:4242
I, [2014-01-25T16:40:06.854161 #11777]  INFO -- : Connected Jim Java at localhost:9900
I, [2014-01-25T16:40:06.934262 #11777]  INFO -- : Connected Korda György at http://localhost:8080/php/player_service.php
I, [2014-01-25T16:40:07.070220 #11777]  INFO -- : devill has 1000 chips
I, [2014-01-25T16:40:07.070612 #11777]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T16:40:07.070820 #11777]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T16:40:07.073120 #11777]  INFO -- : Jim Java got hole card 8 of Diamonds (8, Diamonds)
I, [2014-01-25T16:40:07.105906 #11777]  INFO -- : Korda György got hole card Jack of Clubs (11, Clubs)
I, [2014-01-25T16:40:07.107067 #11777]  INFO -- : devill got hole card 8 of Clubs (8, Clubs)
I, [2014-01-25T16:40:07.108043 #11777]  INFO -- : Jim Java got hole card 4 of Diamonds (4, Diamonds)
I, [2014-01-25T16:40:07.135907 #11777]  INFO -- : Korda György got hole card 5 of Hearts (5, Hearts)
I, [2014-01-25T16:40:07.137421 #11777]  INFO -- : devill got hole card 5 of Diamonds (5, Diamonds)
I, [2014-01-25T16:40:07.169582 #11777]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T16:40:07.198805 #11777]  INFO -- : Korda György made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:40:07.227961 #11777]  INFO -- : devill made a bet of 0 (fold) and is left with 1000 chips. The pot now contains 30 chips.
I, [2014-01-25T16:40:07.261853 #11777]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T16:40:07.340882 #11777]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:40:07.377843 #11777]  INFO -- : Korda György won 30
I, [2014-01-25T16:40:07.465423 #11777]  INFO -- : devill has 1000 chips
I, [2014-01-25T16:40:07.465550 #11777]  INFO -- : Jim Java has 990 chips
I, [2014-01-25T16:40:07.465603 #11777]  INFO -- : Korda György has 1010 chips
I, [2014-01-25T16:40:07.499244 #11777]  INFO -- : Korda György got hole card 6 of Diamonds (6, Diamonds)
I, [2014-01-25T16:40:07.500797 #11777]  INFO -- : devill got hole card 5 of Clubs (5, Clubs)
I, [2014-01-25T16:40:07.502236 #11777]  INFO -- : Jim Java got hole card 9 of Spades (9, Spades)
I, [2014-01-25T16:40:07.535758 #11777]  INFO -- : Korda György got hole card King of Clubs (13, Clubs)
I, [2014-01-25T16:40:07.536500 #11777]  INFO -- : devill got hole card Queen of Hearts (12, Hearts)
I, [2014-01-25T16:40:07.537215 #11777]  INFO -- : Jim Java got hole card Jack of Diamonds (11, Diamonds)
I, [2014-01-25T16:40:07.570921 #11777]  INFO -- : Korda György made a bet of 10 (raise) and is left with 1000 chips. The pot now contains 10 chips.
I, [2014-01-25T16:40:07.608145 #11777]  INFO -- : devill made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:40:07.644169 #11777]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T16:40:07.711046 #11777]  INFO -- : Korda György made a bet of 10 (call) and is left with 990 chips. The pot now contains 40 chips.
I, [2014-01-25T16:40:07.744082 #11777]  INFO -- : devill made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T16:40:07.777202 #11777]  INFO -- : community card Jack of Clubs
I, [2014-01-25T16:40:07.811423 #11777]  INFO -- : community card 4 of Clubs
I, [2014-01-25T16:40:07.840325 #11777]  INFO -- : community card 9 of Diamonds
I, [2014-01-25T16:40:07.913625 #11777]  INFO -- : Korda György made a bet of 0 (check) and is left with 990 chips. The pot now contains 40 chips.
I, [2014-01-25T16:40:07.942034 #11777]  INFO -- : devill made a bet of 20 (raise) and is left with 960 chips. The pot now contains 60 chips.
I, [2014-01-25T16:40:08.005213 #11777]  INFO -- : Korda György made a bet of 20 (call) and is left with 970 chips. The pot now contains 80 chips.
I, [2014-01-25T16:40:08.039821 #11777]  INFO -- : community card 2 of Spades
I, [2014-01-25T16:40:08.117177 #11777]  INFO -- : Korda György made a bet of 0 (check) and is left with 970 chips. The pot now contains 80 chips.
