# Logfile created on 2014-01-25 12:02:26 +0100 by logger.rb/44203
I, [2014-01-25T12:07:28.433198 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 100 chips.
I, [2014-01-25T12:07:33.560933 #4310]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 920 chips. The pot now contains 120 chips.
I, [2014-01-25T12:07:44.432165 #4310]  INFO -- : Korda György made a bet of 20 (call) and is left with 960 chips. The pot now contains 140 chips.
I, [2014-01-25T12:07:50.568904 #4310]  INFO -- : community card 3 of Spades
I, [2014-01-25T12:08:00.867670 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 960 chips. The pot now contains 140 chips.
I, [2014-01-25T12:08:06.098132 #4310]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 900 chips. The pot now contains 160 chips.
I, [2014-01-25T12:08:16.277666 #4310]  INFO -- : Korda György made a bet of 20 (call) and is left with 940 chips. The pot now contains 180 chips.
I, [2014-01-25T12:08:21.408405 #4310]  INFO -- : Jim Java showed 3 of Spades,Jack of Clubs,Queen of Hearts,Queen of Spades,King of Diamonds,King of Hearts,Ace of Hearts making a two pairs
I, [2014-01-25T12:08:26.548829 #4310]  INFO -- : Jim Java won 180
I, [2014-01-25T12:08:42.295863 #4310]  INFO -- : guest42 has 980 chips
I, [2014-01-25T12:08:42.296230 #4310]  INFO -- : Jim Java has 1080 chips
I, [2014-01-25T12:08:42.296399 #4310]  INFO -- : Korda György has 940 chips
I, [2014-01-25T12:08:42.303015 #4310]  INFO -- : guest42 got hole card 8 of Spades (8, Spades)
I, [2014-01-25T12:08:42.345876 #4310]  INFO -- : Jim Java got hole card 2 of Spades (2, Spades)
I, [2014-01-25T12:08:47.449456 #4310]  INFO -- : Korda György got hole card Jack of Diamonds (11, Diamonds)
I, [2014-01-25T12:08:47.459261 #4310]  INFO -- : guest42 got hole card 3 of Clubs (3, Clubs)
I, [2014-01-25T12:08:47.707938 #4310]  INFO -- : Jim Java got hole card 8 of Clubs (8, Clubs)
I, [2014-01-25T12:08:52.810196 #4310]  INFO -- : Korda György got hole card 6 of Spades (6, Spades)
I, [2014-01-25T12:08:57.954966 #4310]  INFO -- : guest42 made a bet of 10 (raise) and is left with 970 chips. The pot now contains 10 chips.
I, [2014-01-25T12:09:03.086017 #4310]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 1060 chips. The pot now contains 30 chips.
I, [2014-01-25T12:09:13.286389 #4310]  INFO -- : Korda György made a bet of 20 (call) and is left with 920 chips. The pot now contains 50 chips.
I, [2014-01-25T12:09:18.466144 #4310]  INFO -- : guest42 made a bet of 0 (fold) and is left with 970 chips. The pot now contains 50 chips.
I, [2014-01-25T12:09:23.568955 #4310]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1060 chips. The pot now contains 50 chips.
I, [2014-01-25T12:09:28.658780 #4310]  INFO -- : community card 2 of Hearts
I, [2014-01-25T12:09:33.780133 #4310]  INFO -- : community card 4 of Clubs
I, [2014-01-25T12:09:38.923542 #4310]  INFO -- : community card 9 of Spades
I, [2014-01-25T12:09:44.081973 #4310]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 1040 chips. The pot now contains 70 chips.
I, [2014-01-25T12:09:57.050447 #4310]  INFO -- : Korda György made a bet of 20 (call) and is left with 900 chips. The pot now contains 90 chips.
I, [2014-01-25T12:10:02.787479 #4310]  INFO -- : community card 2 of Clubs
