# Logfile created on 2014-01-25 16:39:34 +0100 by logger.rb/44203
I, [2014-01-25T16:39:34.081242 #11396]  INFO -- : Connected devill at localhost:4242
I, [2014-01-25T16:39:34.083334 #11396]  INFO -- : Connected Jim Java at localhost:9900
I, [2014-01-25T16:39:34.161382 #11396]  INFO -- : Connected Korda György at http://localhost:8080/php/player_service.php
I, [2014-01-25T16:39:34.311373 #11396]  INFO -- : devill has 1000 chips
I, [2014-01-25T16:39:34.311721 #11396]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T16:39:34.311990 #11396]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T16:39:34.314802 #11396]  INFO -- : Jim Java got hole card King of Spades (13, Spades)
I, [2014-01-25T16:39:34.347389 #11396]  INFO -- : Korda György got hole card Jack of Hearts (11, Hearts)
I, [2014-01-25T16:39:34.348258 #11396]  INFO -- : devill got hole card 6 of Clubs (6, Clubs)
I, [2014-01-25T16:39:34.349072 #11396]  INFO -- : Jim Java got hole card 7 of Spades (7, Spades)
I, [2014-01-25T16:39:34.378947 #11396]  INFO -- : Korda György got hole card 10 of Spades (10, Spades)
I, [2014-01-25T16:39:34.379982 #11396]  INFO -- : devill got hole card 3 of Spades (3, Spades)
I, [2014-01-25T16:39:34.413012 #11396]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T16:39:34.445026 #11396]  INFO -- : Korda György made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:39:34.475199 #11396]  INFO -- : devill made a bet of 0 (fold) and is left with 1000 chips. The pot now contains 30 chips.
I, [2014-01-25T16:39:34.511082 #11396]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T16:39:34.576951 #11396]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:39:34.607536 #11396]  INFO -- : Korda György won 30
I, [2014-01-25T16:39:34.691805 #11396]  INFO -- : devill has 1000 chips
I, [2014-01-25T16:39:34.691920 #11396]  INFO -- : Jim Java has 990 chips
I, [2014-01-25T16:39:34.691965 #11396]  INFO -- : Korda György has 1010 chips
I, [2014-01-25T16:39:34.726405 #11396]  INFO -- : Korda György got hole card Jack of Hearts (11, Hearts)
I, [2014-01-25T16:39:34.727237 #11396]  INFO -- : devill got hole card 7 of Spades (7, Spades)
I, [2014-01-25T16:39:34.728347 #11396]  INFO -- : Jim Java got hole card 10 of Hearts (10, Hearts)
I, [2014-01-25T16:39:34.755462 #11396]  INFO -- : Korda György got hole card Queen of Clubs (12, Clubs)
I, [2014-01-25T16:39:34.757092 #11396]  INFO -- : devill got hole card 9 of Clubs (9, Clubs)
I, [2014-01-25T16:39:34.758830 #11396]  INFO -- : Jim Java got hole card 6 of Hearts (6, Hearts)
I, [2014-01-25T16:39:34.792009 #11396]  INFO -- : Korda György made a bet of 10 (raise) and is left with 1000 chips. The pot now contains 10 chips.
I, [2014-01-25T16:39:34.827223 #11396]  INFO -- : devill made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:39:34.859507 #11396]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
