# Logfile created on 2014-01-25 15:29:06 +0100 by logger.rb/44203
I, [2014-01-25T15:29:06.325147 #9357]  INFO -- : Connected devill at localhost:4242
I, [2014-01-25T15:29:06.337294 #9357]  INFO -- : Connected Jim Java at localhost:9900
I, [2014-01-25T15:29:06.416466 #9357]  INFO -- : Connected Korda György at http://localhost:8080/php/player_service.php
I, [2014-01-25T15:29:06.570502 #9357]  INFO -- : devill has 1000 chips
I, [2014-01-25T15:29:06.570889 #9357]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T15:29:06.571051 #9357]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T15:29:06.590466 #9357]  INFO -- : Jim Java got hole card 9 of Clubs (9, Clubs)
I, [2014-01-25T15:29:06.624910 #9357]  INFO -- : Korda György got hole card 8 of Clubs (8, Clubs)
I, [2014-01-25T15:29:06.626417 #9357]  INFO -- : devill got hole card 10 of Hearts (10, Hearts)
I, [2014-01-25T15:29:06.628021 #9357]  INFO -- : Jim Java got hole card King of Diamonds (13, Diamonds)
I, [2014-01-25T15:29:06.653801 #9357]  INFO -- : Korda György got hole card Jack of Spades (11, Spades)
I, [2014-01-25T15:29:06.655410 #9357]  INFO -- : devill got hole card 7 of Clubs (7, Clubs)
I, [2014-01-25T15:29:06.700698 #9357]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T15:29:06.732888 #9357]  INFO -- : Korda György made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T15:29:06.768567 #9357]  INFO -- : devill made a bet of 0 (fold) and is left with 1000 chips. The pot now contains 30 chips.
I, [2014-01-25T15:29:06.828332 #9357]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T15:29:06.886984 #9357]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T15:29:06.926638 #9357]  INFO -- : Korda György won 30
I, [2014-01-25T15:29:07.018055 #9357]  INFO -- : devill has 1000 chips
I, [2014-01-25T15:29:07.018380 #9357]  INFO -- : Jim Java has 990 chips
I, [2014-01-25T15:29:07.018565 #9357]  INFO -- : Korda György has 1010 chips
I, [2014-01-25T15:29:07.045122 #9357]  INFO -- : Korda György got hole card Ace of Clubs (14, Clubs)
I, [2014-01-25T15:29:07.046392 #9357]  INFO -- : devill got hole card King of Diamonds (13, Diamonds)
I, [2014-01-25T15:29:07.047425 #9357]  INFO -- : Jim Java got hole card 5 of Spades (5, Spades)
I, [2014-01-25T15:29:07.072662 #9357]  INFO -- : Korda György got hole card 8 of Clubs (8, Clubs)
I, [2014-01-25T15:29:07.073855 #9357]  INFO -- : devill got hole card 5 of Hearts (5, Hearts)
I, [2014-01-25T15:29:07.075193 #9357]  INFO -- : Jim Java got hole card 7 of Spades (7, Spades)
I, [2014-01-25T15:29:07.103036 #9357]  INFO -- : Korda György made a bet of 10 (raise) and is left with 1000 chips. The pot now contains 10 chips.
I, [2014-01-25T15:29:07.136732 #9357]  INFO -- : devill made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T15:29:07.171454 #9357]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T15:29:07.246131 #9357]  INFO -- : Korda György made a bet of 10 (call) and is left with 990 chips. The pot now contains 40 chips.
I, [2014-01-25T15:29:07.274871 #9357]  INFO -- : devill made a bet of 10 (raise) and is left with 970 chips. The pot now contains 50 chips.
I, [2014-01-25T15:29:07.334049 #9357]  INFO -- : Korda György made a bet of 10 (call) and is left with 980 chips. The pot now contains 60 chips.
I, [2014-01-25T15:29:07.379512 #9357]  INFO -- : community card 7 of Clubs
I, [2014-01-25T15:29:07.414903 #9357]  INFO -- : community card 3 of Clubs
I, [2014-01-25T15:29:07.449268 #9357]  INFO -- : community card 10 of Clubs
I, [2014-01-25T15:29:07.513222 #9357]  INFO -- : Korda György made a bet of 70 (raise) and is left with 910 chips. The pot now contains 130 chips.
I, [2014-01-25T15:29:07.548113 #9357]  INFO -- : devill made a bet of 70 (call) and is left with 900 chips. The pot now contains 200 chips.
I, [2014-01-25T15:29:07.584007 #9357]  INFO -- : community card 2 of Spades
I, [2014-01-25T15:29:07.664756 #9357]  INFO -- : Korda György made a bet of 70 (raise) and is left with 840 chips. The pot now contains 270 chips.
I, [2014-01-25T15:29:07.696174 #9357]  INFO -- : devill made a bet of 70 (call) and is left with 830 chips. The pot now contains 340 chips.
I, [2014-01-25T15:29:07.727420 #9357]  INFO -- : community card 9 of Hearts
I, [2014-01-25T15:29:07.811665 #9357]  INFO -- : Korda György made a bet of 70 (raise) and is left with 770 chips. The pot now contains 410 chips.
I, [2014-01-25T15:29:07.848449 #9357]  INFO -- : devill made a bet of 70 (call) and is left with 760 chips. The pot now contains 480 chips.
I, [2014-01-25T15:29:07.901815 #9357]  INFO -- : Korda György showed 2 of Spades,3 of Clubs,7 of Clubs,8 of Clubs,9 of Hearts,10 of Clubs,Ace of Clubs making a flush
I, [2014-01-25T15:29:07.926500 #9357]  INFO -- : Korda György won 480
I, [2014-01-25T15:29:08.012556 #9357]  INFO -- : devill has 760 chips
I, [2014-01-25T15:29:08.012873 #9357]  INFO -- : Jim Java has 990 chips
I, [2014-01-25T15:29:08.013038 #9357]  INFO -- : Korda György has 1250 chips
I, [2014-01-25T15:29:08.014208 #9357]  INFO -- : devill got hole card King of Diamonds (13, Diamonds)
I, [2014-01-25T15:29:08.015788 #9357]  INFO -- : Jim Java got hole card Queen of Hearts (12, Hearts)
I, [2014-01-25T15:29:08.051819 #9357]  INFO -- : Korda György got hole card 3 of Spades (3, Spades)
I, [2014-01-25T15:29:08.053296 #9357]  INFO -- : devill got hole card 6 of Diamonds (6, Diamonds)
