# Logfile created on 2014-01-25 17:55:55 +0100 by logger.rb/44203
I, [2014-01-25T17:55:55.729606 #14436]  INFO -- : Connected devill_4242 at localhost:4242
I, [2014-01-25T17:55:55.731600 #14436]  INFO -- : Connected Jim Java at localhost:9900
I, [2014-01-25T17:55:55.798542 #14436]  INFO -- : Connected Korda György at http://localhost:8080/php/player_service.php
I, [2014-01-25T17:55:55.944105 #14436]  INFO -- : devill_4242 has 1000 chips
I, [2014-01-25T17:55:55.944257 #14436]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T17:55:55.944328 #14436]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T17:55:55.946686 #14436]  INFO -- : Jim Java got hole card 7 of Clubs (7, Clubs)
I, [2014-01-25T17:55:55.970604 #14436]  INFO -- : Korda György got hole card 7 of Hearts (7, Hearts)
I, [2014-01-25T17:55:55.971283 #14436]  INFO -- : devill_4242 got hole card 7 of Spades (7, Spades)
I, [2014-01-25T17:55:55.972212 #14436]  INFO -- : Jim Java got hole card 5 of Clubs (5, Clubs)
I, [2014-01-25T17:55:55.997359 #14436]  INFO -- : Korda György got hole card 4 of Hearts (4, Hearts)
I, [2014-01-25T17:55:55.998186 #14436]  INFO -- : devill_4242 got hole card Ace of Hearts (14, Hearts)
I, [2014-01-25T17:55:56.030798 #14436]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T17:55:56.059832 #14436]  INFO -- : Korda György made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T17:55:56.089935 #14436]  INFO -- : devill_4242 made a bet of 0 (fold) and is left with 1000 chips. The pot now contains 30 chips.
I, [2014-01-25T17:55:56.120563 #14436]  INFO -- : Jim Java made a bet of 10 (call) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:55:56.177205 #14436]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:55:56.211524 #14436]  INFO -- : community card 2 of Hearts
I, [2014-01-25T17:55:56.245443 #14436]  INFO -- : community card 5 of Hearts
I, [2014-01-25T17:55:56.281355 #14436]  INFO -- : community card Queen of Diamonds
I, [2014-01-25T17:55:56.314244 #14436]  INFO -- : Jim Java made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:55:56.384474 #14436]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:55:56.422091 #14436]  INFO -- : community card 3 of Spades
I, [2014-01-25T17:55:56.460573 #14436]  INFO -- : Jim Java made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:55:56.527211 #14436]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:55:56.550126 #14436]  INFO -- : community card 10 of Diamonds
I, [2014-01-25T17:55:56.580627 #14436]  INFO -- : Jim Java made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:55:56.644550 #14436]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:55:56.672378 #14436]  INFO -- : Jim Java showed 2 of Hearts,3 of Spades,5 of Clubs,5 of Hearts,7 of Clubs,10 of Diamonds,Queen of Diamonds making a pair
I, [2014-01-25T17:55:56.700162 #14436]  INFO -- : Jim Java won 40
I, [2014-01-25T17:55:56.783271 #14436]  INFO -- : devill_4242 has 1000 chips
I, [2014-01-25T17:55:56.783605 #14436]  INFO -- : Jim Java has 1020 chips
I, [2014-01-25T17:55:56.783782 #14436]  INFO -- : Korda György has 980 chips
I, [2014-01-25T17:55:56.817259 #14436]  INFO -- : Korda György got hole card 2 of Hearts (2, Hearts)
I, [2014-01-25T17:55:56.818935 #14436]  INFO -- : devill_4242 got hole card Jack of Spades (11, Spades)
I, [2014-01-25T17:55:56.820380 #14436]  INFO -- : Jim Java got hole card 3 of Spades (3, Spades)
I, [2014-01-25T17:55:56.857238 #14436]  INFO -- : Korda György got hole card 5 of Diamonds (5, Diamonds)
I, [2014-01-25T17:55:56.858541 #14436]  INFO -- : devill_4242 got hole card 3 of Clubs (3, Clubs)
I, [2014-01-25T17:55:56.860218 #14436]  INFO -- : Jim Java got hole card King of Clubs (13, Clubs)
I, [2014-01-25T17:55:56.893621 #14436]  INFO -- : Korda György made a bet of 10 (raise) and is left with 970 chips. The pot now contains 10 chips.
I, [2014-01-25T17:55:56.928327 #14436]  INFO -- : devill_4242 made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T17:55:56.966005 #14436]  INFO -- : Jim Java made a bet of 20 (call) and is left with 1000 chips. The pot now contains 50 chips.
I, [2014-01-25T17:55:57.037103 #14436]  INFO -- : Korda György made a bet of 0 (fold) and is left with 970 chips. The pot now contains 50 chips.
I, [2014-01-25T17:55:57.070381 #14436]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 980 chips. The pot now contains 50 chips.
I, [2014-01-25T17:55:57.095603 #14436]  INFO -- : community card 4 of Spades
I, [2014-01-25T17:55:57.122715 #14436]  INFO -- : community card 6 of Clubs
I, [2014-01-25T17:55:57.155684 #14436]  INFO -- : community card Queen of Hearts
I, [2014-01-25T17:55:57.192841 #14436]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 980 chips. The pot now contains 50 chips.
I, [2014-01-25T17:55:57.236522 #14436]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1000 chips. The pot now contains 50 chips.
I, [2014-01-25T17:55:57.266565 #14436]  INFO -- : community card 3 of Hearts
I, [2014-01-25T17:55:57.295683 #14436]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 980 chips. The pot now contains 50 chips.
I, [2014-01-25T17:55:57.326439 #14436]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1000 chips. The pot now contains 50 chips.
I, [2014-01-25T17:55:57.360530 #14436]  INFO -- : community card 7 of Clubs
I, [2014-01-25T17:55:57.393188 #14436]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 980 chips. The pot now contains 50 chips.
I, [2014-01-25T17:55:57.427047 #14436]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1000 chips. The pot now contains 50 chips.
I, [2014-01-25T17:55:57.468921 #14436]  INFO -- : devill_4242 showed 3 of Hearts,3 of Clubs,4 of Spades,6 of Clubs,7 of Clubs,Jack of Spades,Queen of Hearts making a pair
I, [2014-01-25T17:55:57.505266 #14436]  INFO -- : Jim Java showed 3 of Spades,3 of Hearts,4 of Spades,6 of Clubs,7 of Clubs,Queen of Hearts,King of Clubs making a pair
I, [2014-01-25T17:55:57.535288 #14436]  INFO -- : Jim Java won 50
I, [2014-01-25T17:55:57.632540 #14436]  INFO -- : devill_4242 has 980 chips
I, [2014-01-25T17:55:57.632906 #14436]  INFO -- : Jim Java has 1050 chips
I, [2014-01-25T17:55:57.633128 #14436]  INFO -- : Korda György has 970 chips
I, [2014-01-25T17:55:57.634461 #14436]  INFO -- : devill_4242 got hole card King of Diamonds (13, Diamonds)
I, [2014-01-25T17:55:57.635789 #14436]  INFO -- : Jim Java got hole card Jack of Hearts (11, Hearts)
I, [2014-01-25T17:55:57.672149 #14436]  INFO -- : Korda György got hole card 8 of Diamonds (8, Diamonds)
I, [2014-01-25T17:55:57.673651 #14436]  INFO -- : devill_4242 got hole card 3 of Clubs (3, Clubs)
I, [2014-01-25T17:55:57.675198 #14436]  INFO -- : Jim Java got hole card 7 of Diamonds (7, Diamonds)
I, [2014-01-25T17:55:57.708433 #14436]  INFO -- : Korda György got hole card 7 of Hearts (7, Hearts)
I, [2014-01-25T17:55:57.744122 #14436]  INFO -- : devill_4242 made a bet of 10 (raise) and is left with 970 chips. The pot now contains 10 chips.
I, [2014-01-25T17:55:57.771013 #14436]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 1030 chips. The pot now contains 30 chips.
I, [2014-01-25T17:55:57.840819 #14436]  INFO -- : Korda György made a bet of 0 (fold) and is left with 970 chips. The pot now contains 30 chips.
I, [2014-01-25T17:55:57.883586 #14436]  INFO -- : devill_4242 made a bet of 0 (fold) and is left with 970 chips. The pot now contains 30 chips.
I, [2014-01-25T17:55:57.915524 #14436]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1030 chips. The pot now contains 30 chips.
I, [2014-01-25T17:55:57.946505 #14436]  INFO -- : Jim Java won 30
I, [2014-01-25T17:55:58.039432 #14436]  INFO -- : devill_4242 has 970 chips
I, [2014-01-25T17:55:58.039789 #14436]  INFO -- : Jim Java has 1060 chips
I, [2014-01-25T17:55:58.040015 #14436]  INFO -- : Korda György has 970 chips
I, [2014-01-25T17:55:58.041621 #14436]  INFO -- : Jim Java got hole card 4 of Spades (4, Spades)
I, [2014-01-25T17:55:58.071285 #14436]  INFO -- : Korda György got hole card 10 of Clubs (10, Clubs)
I, [2014-01-25T17:55:58.072570 #14436]  INFO -- : devill_4242 got hole card Ace of Clubs (14, Clubs)
I, [2014-01-25T17:55:58.074671 #14436]  INFO -- : Jim Java got hole card 2 of Diamonds (2, Diamonds)
I, [2014-01-25T17:55:58.101929 #14436]  INFO -- : Korda György got hole card 6 of Diamonds (6, Diamonds)
I, [2014-01-25T17:55:58.102665 #14436]  INFO -- : devill_4242 got hole card King of Diamonds (13, Diamonds)
I, [2014-01-25T17:55:58.137986 #14436]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 1050 chips. The pot now contains 10 chips.
I, [2014-01-25T17:55:58.179238 #14436]  INFO -- : Korda György made a bet of 20 (raise) and is left with 950 chips. The pot now contains 30 chips.
I, [2014-01-25T17:55:58.211370 #14436]  INFO -- : devill_4242 made a bet of 20 (call) and is left with 950 chips. The pot now contains 50 chips.
I, [2014-01-25T17:55:58.249191 #14436]  INFO -- : Jim Java made a bet of 10 (call) and is left with 1040 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:58.319139 #14436]  INFO -- : Korda György made a bet of 0 (check) and is left with 950 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:58.346834 #14436]  INFO -- : community card 10 of Diamonds
I, [2014-01-25T17:55:58.376018 #14436]  INFO -- : community card 9 of Hearts
I, [2014-01-25T17:55:58.405652 #14436]  INFO -- : community card 6 of Spades
I, [2014-01-25T17:55:58.439529 #14436]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1040 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:58.515172 #14436]  INFO -- : Korda György made a bet of 0 (check) and is left with 950 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:58.555646 #14436]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 950 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:58.587852 #14436]  INFO -- : community card 8 of Diamonds
I, [2014-01-25T17:55:58.618022 #14436]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1040 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:58.693369 #14436]  INFO -- : Korda György made a bet of 0 (check) and is left with 950 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:58.727259 #14436]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 950 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:58.752738 #14436]  INFO -- : community card 6 of Clubs
I, [2014-01-25T17:55:58.782670 #14436]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1040 chips. The pot now contains 60 chips.
I, [2014-01-25T17:55:58.860939 #14436]  INFO -- : Korda György made a bet of 220 (raise) and is left with 730 chips. The pot now contains 280 chips.
I, [2014-01-25T17:55:58.896937 #14436]  INFO -- : devill_4242 made a bet of 220 (call) and is left with 730 chips. The pot now contains 500 chips.
I, [2014-01-25T17:55:58.934332 #14436]  INFO -- : Jim Java made a bet of 220 (call) and is left with 820 chips. The pot now contains 720 chips.
I, [2014-01-25T17:55:58.976201 #14436]  INFO -- : Korda György showed 6 of Clubs,6 of Diamonds,6 of Spades,8 of Diamonds,9 of Hearts,10 of Diamonds,10 of Clubs making a full house
I, [2014-01-25T17:55:59.008258 #14436]  INFO -- : Korda György won 720
I, [2014-01-25T17:55:59.099687 #14436]  INFO -- : devill_4242 has 730 chips
I, [2014-01-25T17:55:59.100079 #14436]  INFO -- : Jim Java has 820 chips
I, [2014-01-25T17:55:59.100354 #14436]  INFO -- : Korda György has 1450 chips
I, [2014-01-25T17:55:59.129248 #14436]  INFO -- : Korda György got hole card 5 of Clubs (5, Clubs)
I, [2014-01-25T17:55:59.131171 #14436]  INFO -- : devill_4242 got hole card 4 of Diamonds (4, Diamonds)
