# Logfile created on 2014-01-25 17:57:41 +0100 by logger.rb/44203
I, [2014-01-25T17:57:41.581282 #16545]  INFO -- : Connected devill_4242 at localhost:4242
I, [2014-01-25T17:57:41.583395 #16545]  INFO -- : Connected Jim Java at localhost:9900
I, [2014-01-25T17:57:41.660367 #16545]  INFO -- : Connected Korda György at http://localhost:8080/php/player_service.php
I, [2014-01-25T17:57:41.797937 #16545]  INFO -- : devill_4242 has 1000 chips
I, [2014-01-25T17:57:41.798347 #16545]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T17:57:41.798561 #16545]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T17:57:41.801382 #16545]  INFO -- : Jim Java got hole card 5 of Diamonds (5, Diamonds)
I, [2014-01-25T17:57:41.834579 #16545]  INFO -- : Korda György got hole card Queen of Clubs (12, Clubs)
I, [2014-01-25T17:57:41.836060 #16545]  INFO -- : devill_4242 got hole card Jack of Spades (11, Spades)
I, [2014-01-25T17:57:41.837324 #16545]  INFO -- : Jim Java got hole card 4 of Clubs (4, Clubs)
I, [2014-01-25T17:57:41.870711 #16545]  INFO -- : Korda György got hole card 2 of Clubs (2, Clubs)
I, [2014-01-25T17:57:41.872920 #16545]  INFO -- : devill_4242 got hole card 8 of Clubs (8, Clubs)
I, [2014-01-25T17:57:41.906319 #16545]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T17:57:41.939003 #16545]  INFO -- : Korda György made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T17:57:41.973627 #16545]  INFO -- : devill_4242 made a bet of 0 (fold) and is left with 1000 chips. The pot now contains 30 chips.
I, [2014-01-25T17:57:42.008056 #16545]  INFO -- : Jim Java made a bet of 10 (call) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:57:42.074713 #16545]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:57:42.105442 #16545]  INFO -- : community card 2 of Spades
I, [2014-01-25T17:57:42.137034 #16545]  INFO -- : community card 3 of Spades
I, [2014-01-25T17:57:42.164840 #16545]  INFO -- : community card 6 of Diamonds
I, [2014-01-25T17:57:42.195229 #16545]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 960 chips. The pot now contains 60 chips.
I, [2014-01-25T17:57:42.264084 #16545]  INFO -- : Korda György made a bet of 20 (call) and is left with 960 chips. The pot now contains 80 chips.
I, [2014-01-25T17:57:42.294549 #16545]  INFO -- : community card 7 of Hearts
I, [2014-01-25T17:57:42.335340 #16545]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 940 chips. The pot now contains 100 chips.
I, [2014-01-25T17:57:42.410038 #16545]  INFO -- : Korda György made a bet of 20 (call) and is left with 940 chips. The pot now contains 120 chips.
I, [2014-01-25T17:57:42.437956 #16545]  INFO -- : community card Jack of Clubs
I, [2014-01-25T17:57:42.474992 #16545]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 920 chips. The pot now contains 140 chips.
I, [2014-01-25T17:57:42.546889 #16545]  INFO -- : Korda György made a bet of 20 (call) and is left with 920 chips. The pot now contains 160 chips.
I, [2014-01-25T17:57:42.587834 #16545]  INFO -- : Jim Java showed 2 of Spades,3 of Spades,4 of Clubs,5 of Diamonds,6 of Diamonds,7 of Hearts,Jack of Clubs making a straight
I, [2014-01-25T17:57:42.620355 #16545]  INFO -- : Jim Java won 160
I, [2014-01-25T17:57:42.707970 #16545]  INFO -- : devill_4242 has 1000 chips
I, [2014-01-25T17:57:42.708289 #16545]  INFO -- : Jim Java has 1080 chips
I, [2014-01-25T17:57:42.708467 #16545]  INFO -- : Korda György has 920 chips
I, [2014-01-25T17:57:42.749458 #16545]  INFO -- : Korda György got hole card Jack of Diamonds (11, Diamonds)
I, [2014-01-25T17:57:42.750748 #16545]  INFO -- : devill_4242 got hole card 3 of Clubs (3, Clubs)
I, [2014-01-25T17:57:42.752079 #16545]  INFO -- : Jim Java got hole card 10 of Hearts (10, Hearts)
I, [2014-01-25T17:57:42.784987 #16545]  INFO -- : Korda György got hole card 6 of Diamonds (6, Diamonds)
I, [2014-01-25T17:57:42.786328 #16545]  INFO -- : devill_4242 got hole card 6 of Spades (6, Spades)
I, [2014-01-25T17:57:42.787730 #16545]  INFO -- : Jim Java got hole card Jack of Hearts (11, Hearts)
I, [2014-01-25T17:57:42.819661 #16545]  INFO -- : Korda György made a bet of 10 (raise) and is left with 910 chips. The pot now contains 10 chips.
I, [2014-01-25T17:57:42.851160 #16545]  INFO -- : devill_4242 made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T17:57:42.890825 #16545]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 1040 chips. The pot now contains 70 chips.
I, [2014-01-25T17:57:42.959565 #16545]  INFO -- : Korda György made a bet of 0 (fold) and is left with 910 chips. The pot now contains 70 chips.
I, [2014-01-25T17:57:42.995024 #16545]  INFO -- : devill_4242 made a bet of 0 (fold) and is left with 980 chips. The pot now contains 70 chips.
I, [2014-01-25T17:57:43.032985 #16545]  INFO -- : Jim Java won 70
I, [2014-01-25T17:57:43.127387 #16545]  INFO -- : devill_4242 has 980 chips
I, [2014-01-25T17:57:43.127785 #16545]  INFO -- : Jim Java has 1110 chips
I, [2014-01-25T17:57:43.128062 #16545]  INFO -- : Korda György has 910 chips
I, [2014-01-25T17:57:43.129287 #16545]  INFO -- : devill_4242 got hole card 6 of Diamonds (6, Diamonds)
I, [2014-01-25T17:57:43.130727 #16545]  INFO -- : Jim Java got hole card 10 of Clubs (10, Clubs)
I, [2014-01-25T17:57:43.165750 #16545]  INFO -- : Korda György got hole card 10 of Spades (10, Spades)
I, [2014-01-25T17:57:43.170696 #16545]  INFO -- : devill_4242 got hole card 9 of Clubs (9, Clubs)
I, [2014-01-25T17:57:43.172286 #16545]  INFO -- : Jim Java got hole card 3 of Hearts (3, Hearts)
I, [2014-01-25T17:57:43.203943 #16545]  INFO -- : Korda György got hole card 7 of Hearts (7, Hearts)
I, [2014-01-25T17:57:43.241673 #16545]  INFO -- : devill_4242 made a bet of 10 (raise) and is left with 970 chips. The pot now contains 10 chips.
I, [2014-01-25T17:57:43.274161 #16545]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 1090 chips. The pot now contains 30 chips.
I, [2014-01-25T17:57:43.351400 #16545]  INFO -- : Korda György made a bet of 0 (fold) and is left with 910 chips. The pot now contains 30 chips.
I, [2014-01-25T17:57:43.382861 #16545]  INFO -- : devill_4242 made a bet of 0 (fold) and is left with 970 chips. The pot now contains 30 chips.
I, [2014-01-25T17:57:43.411308 #16545]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1090 chips. The pot now contains 30 chips.
I, [2014-01-25T17:57:43.442595 #16545]  INFO -- : Jim Java won 30
I, [2014-01-25T17:57:43.534467 #16545]  INFO -- : devill_4242 has 970 chips
