# Logfile created on 2014-01-25 17:56:41 +0100 by logger.rb/44203
I, [2014-01-25T17:56:41.437483 #15287]  INFO -- : Connected devill_4242 at localhost:4242
I, [2014-01-25T17:56:41.439770 #15287]  INFO -- : Connected Jim Java at localhost:9900
I, [2014-01-25T17:56:41.517172 #15287]  INFO -- : Connected Korda György at http://localhost:8080/php/player_service.php
I, [2014-01-25T17:56:41.680431 #15287]  INFO -- : devill_4242 has 1000 chips
I, [2014-01-25T17:56:41.680761 #15287]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T17:56:41.680967 #15287]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T17:56:41.683670 #15287]  INFO -- : Jim Java got hole card 8 of Hearts (8, Hearts)
I, [2014-01-25T17:56:41.711371 #15287]  INFO -- : Korda György got hole card Jack of Diamonds (11, Diamonds)
I, [2014-01-25T17:56:41.712630 #15287]  INFO -- : devill_4242 got hole card 10 of Clubs (10, Clubs)
I, [2014-01-25T17:56:41.713587 #15287]  INFO -- : Jim Java got hole card 4 of Clubs (4, Clubs)
I, [2014-01-25T17:56:41.746699 #15287]  INFO -- : Korda György got hole card King of Hearts (13, Hearts)
I, [2014-01-25T17:56:41.748724 #15287]  INFO -- : devill_4242 got hole card 7 of Diamonds (7, Diamonds)
I, [2014-01-25T17:56:41.787462 #15287]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T17:56:41.819246 #15287]  INFO -- : Korda György made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T17:56:41.854014 #15287]  INFO -- : devill_4242 made a bet of 0 (fold) and is left with 1000 chips. The pot now contains 30 chips.
I, [2014-01-25T17:56:41.883045 #15287]  INFO -- : Jim Java made a bet of 10 (call) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:56:41.939274 #15287]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:56:41.976733 #15287]  INFO -- : community card 9 of Diamonds
I, [2014-01-25T17:56:42.013644 #15287]  INFO -- : community card 10 of Spades
I, [2014-01-25T17:56:42.043513 #15287]  INFO -- : community card 3 of Diamonds
I, [2014-01-25T17:56:42.083827 #15287]  INFO -- : Jim Java made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:56:42.168349 #15287]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:56:42.203538 #15287]  INFO -- : community card 6 of Diamonds
I, [2014-01-25T17:56:42.238077 #15287]  INFO -- : Jim Java made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:56:42.311981 #15287]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:56:42.340718 #15287]  INFO -- : community card 8 of Spades
I, [2014-01-25T17:56:42.371304 #15287]  INFO -- : Jim Java made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:56:42.455746 #15287]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T17:56:42.495167 #15287]  INFO -- : Jim Java showed 3 of Diamonds,4 of Clubs,6 of Diamonds,8 of Hearts,8 of Spades,9 of Diamonds,10 of Spades making a pair
I, [2014-01-25T17:56:42.527832 #15287]  INFO -- : Jim Java won 40
I, [2014-01-25T17:56:42.619750 #15287]  INFO -- : devill_4242 has 1000 chips
I, [2014-01-25T17:56:42.620094 #15287]  INFO -- : Jim Java has 1020 chips
I, [2014-01-25T17:56:42.620271 #15287]  INFO -- : Korda György has 980 chips
I, [2014-01-25T17:56:42.649039 #15287]  INFO -- : Korda György got hole card 7 of Hearts (7, Hearts)
I, [2014-01-25T17:56:42.649931 #15287]  INFO -- : devill_4242 got hole card 5 of Clubs (5, Clubs)
I, [2014-01-25T17:56:42.651378 #15287]  INFO -- : Jim Java got hole card 4 of Spades (4, Spades)
I, [2014-01-25T17:56:42.679712 #15287]  INFO -- : Korda György got hole card 9 of Spades (9, Spades)
I, [2014-01-25T17:56:42.680604 #15287]  INFO -- : devill_4242 got hole card 2 of Clubs (2, Clubs)
I, [2014-01-25T17:56:42.681206 #15287]  INFO -- : Jim Java got hole card 6 of Clubs (6, Clubs)
I, [2014-01-25T17:56:42.713688 #15287]  INFO -- : Korda György made a bet of 10 (raise) and is left with 970 chips. The pot now contains 10 chips.
I, [2014-01-25T17:56:42.746483 #15287]  INFO -- : devill_4242 made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T17:56:42.782733 #15287]  INFO -- : Jim Java made a bet of 20 (call) and is left with 1000 chips. The pot now contains 50 chips.
I, [2014-01-25T17:56:42.841263 #15287]  INFO -- : Korda György made a bet of 0 (fold) and is left with 970 chips. The pot now contains 50 chips.
I, [2014-01-25T17:56:42.874849 #15287]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 980 chips. The pot now contains 50 chips.
I, [2014-01-25T17:56:42.901373 #15287]  INFO -- : community card 7 of Diamonds
I, [2014-01-25T17:56:42.934560 #15287]  INFO -- : community card 4 of Clubs
I, [2014-01-25T17:56:42.964811 #15287]  INFO -- : community card 3 of Clubs
I, [2014-01-25T17:56:42.999656 #15287]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 980 chips. The pot now contains 50 chips.
I, [2014-01-25T17:56:43.041180 #15287]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1000 chips. The pot now contains 50 chips.
I, [2014-01-25T17:56:43.072052 #15287]  INFO -- : community card 5 of Hearts
I, [2014-01-25T17:56:43.106853 #15287]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 980 chips. The pot now contains 50 chips.
I, [2014-01-25T17:56:43.141587 #15287]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 980 chips. The pot now contains 70 chips.
I, [2014-01-25T17:56:43.176711 #15287]  INFO -- : devill_4242 made a bet of 20 (call) and is left with 960 chips. The pot now contains 90 chips.
I, [2014-01-25T17:56:43.202733 #15287]  INFO -- : community card 8 of Clubs
I, [2014-01-25T17:56:43.233376 #15287]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 960 chips. The pot now contains 90 chips.
I, [2014-01-25T17:56:43.273325 #15287]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 960 chips. The pot now contains 110 chips.
I, [2014-01-25T17:56:43.310068 #15287]  INFO -- : devill_4242 made a bet of 20 (call) and is left with 940 chips. The pot now contains 130 chips.
I, [2014-01-25T17:56:43.347455 #15287]  INFO -- : Jim Java showed 3 of Clubs,4 of Spades,4 of Clubs,5 of Hearts,6 of Clubs,7 of Diamonds,8 of Clubs making a straight
I, [2014-01-25T17:56:43.387598 #15287]  INFO -- : devill_4242 showed 2 of Clubs,3 of Clubs,4 of Clubs,5 of Clubs,5 of Hearts,7 of Diamonds,8 of Clubs making a flush
I, [2014-01-25T17:56:43.418037 #15287]  INFO -- : devill_4242 won 130
I, [2014-01-25T17:56:43.505841 #15287]  INFO -- : devill_4242 has 1070 chips
I, [2014-01-25T17:56:43.506211 #15287]  INFO -- : Jim Java has 960 chips
I, [2014-01-25T17:56:43.506416 #15287]  INFO -- : Korda György has 970 chips
I, [2014-01-25T17:56:43.507702 #15287]  INFO -- : devill_4242 got hole card 8 of Spades (8, Spades)
I, [2014-01-25T17:56:43.508968 #15287]  INFO -- : Jim Java got hole card 10 of Diamonds (10, Diamonds)
I, [2014-01-25T17:56:43.536055 #15287]  INFO -- : Korda György got hole card King of Diamonds (13, Diamonds)
I, [2014-01-25T17:56:43.537317 #15287]  INFO -- : devill_4242 got hole card 7 of Hearts (7, Hearts)
