# Logfile created on 2014-01-25 16:38:39 +0100 by logger.rb/44203
I, [2014-01-25T16:38:39.397322 #10462]  INFO -- : Connected devill at localhost:4242
I, [2014-01-25T16:38:39.399356 #10462]  INFO -- : Connected Jim Java at localhost:9900
I, [2014-01-25T16:38:39.475461 #10462]  INFO -- : Connected Korda György at http://localhost:8080/php/player_service.php
I, [2014-01-25T16:38:39.628063 #10462]  INFO -- : devill has 1000 chips
I, [2014-01-25T16:38:39.628414 #10462]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T16:38:39.628671 #10462]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T16:38:39.631596 #10462]  INFO -- : Jim Java got hole card Queen of Hearts (12, Hearts)
I, [2014-01-25T16:38:39.666909 #10462]  INFO -- : Korda György got hole card King of Clubs (13, Clubs)
I, [2014-01-25T16:38:39.668421 #10462]  INFO -- : devill got hole card 5 of Clubs (5, Clubs)
I, [2014-01-25T16:38:39.669898 #10462]  INFO -- : Jim Java got hole card 7 of Diamonds (7, Diamonds)
I, [2014-01-25T16:38:39.697380 #10462]  INFO -- : Korda György got hole card 7 of Spades (7, Spades)
I, [2014-01-25T16:38:39.698457 #10462]  INFO -- : devill got hole card Queen of Diamonds (12, Diamonds)
I, [2014-01-25T16:38:39.731574 #10462]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T16:38:39.764060 #10462]  INFO -- : Korda György made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:38:39.799554 #10462]  INFO -- : devill made a bet of 0 (fold) and is left with 1000 chips. The pot now contains 30 chips.
I, [2014-01-25T16:38:39.830521 #10462]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T16:38:39.909752 #10462]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:38:39.941528 #10462]  INFO -- : Korda György won 30
I, [2014-01-25T16:38:40.040715 #10462]  INFO -- : devill has 1000 chips
I, [2014-01-25T16:38:40.040836 #10462]  INFO -- : Jim Java has 990 chips
I, [2014-01-25T16:38:40.040881 #10462]  INFO -- : Korda György has 1010 chips
I, [2014-01-25T16:38:40.068553 #10462]  INFO -- : Korda György got hole card King of Hearts (13, Hearts)
I, [2014-01-25T16:38:40.069751 #10462]  INFO -- : devill got hole card 9 of Hearts (9, Hearts)
I, [2014-01-25T16:38:40.071049 #10462]  INFO -- : Jim Java got hole card Jack of Hearts (11, Hearts)
I, [2014-01-25T16:38:40.100115 #10462]  INFO -- : Korda György got hole card 8 of Hearts (8, Hearts)
I, [2014-01-25T16:38:40.101237 #10462]  INFO -- : devill got hole card King of Clubs (13, Clubs)
I, [2014-01-25T16:38:40.101980 #10462]  INFO -- : Jim Java got hole card 2 of Clubs (2, Clubs)
I, [2014-01-25T16:38:40.130881 #10462]  INFO -- : Korda György made a bet of 10 (raise) and is left with 1000 chips. The pot now contains 10 chips.
I, [2014-01-25T16:38:40.165451 #10462]  INFO -- : devill made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:38:40.200715 #10462]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T16:38:40.271837 #10462]  INFO -- : Korda György made a bet of 10 (call) and is left with 990 chips. The pot now contains 40 chips.
I, [2014-01-25T16:38:40.309646 #10462]  INFO -- : devill made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T16:38:40.344109 #10462]  INFO -- : community card Ace of Spades
I, [2014-01-25T16:38:40.378717 #10462]  INFO -- : community card 4 of Diamonds
I, [2014-01-25T16:38:40.414650 #10462]  INFO -- : community card Queen of Diamonds
I, [2014-01-25T16:38:40.497116 #10462]  INFO -- : Korda György made a bet of 0 (check) and is left with 990 chips. The pot now contains 40 chips.
I, [2014-01-25T16:38:40.538575 #10462]  INFO -- : devill made a bet of 20 (raise) and is left with 960 chips. The pot now contains 60 chips.
I, [2014-01-25T16:38:40.615861 #10462]  INFO -- : Korda György made a bet of 20 (call) and is left with 970 chips. The pot now contains 80 chips.
I, [2014-01-25T16:38:40.648107 #10462]  INFO -- : community card 5 of Clubs
